GUAJIRA,DIBULLA,03/13/2020 12:00:00 AM,CORREGIMIENTO DE PALOMINO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",RURAL,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,42,1
GUAJIRA,RIOHACHA (CT),01/09/2020 12:00:00 AM,ABAJO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,59,1
GUAJIRA,RIOHACHA (CT),05/02/2020 12:00:00 AM,ABAJO,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,ESPAÑA,TURISTA EXTRANJERO,38,1
GUAJIRA,RIOHACHA (CT),01/27/2020 12:00:00 AM,SAN FRANCISCO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,VIAS PUBLICAS,URBANA,MASCULINO,INGLATERRA,TURISTA EXTRANJERO,26,1
GUAJIRA,URIBIA,03/19/2020 12:00:00 AM,CORREGIMIENTO DE PUERTO BOLIVAR,ARTÍCULO 239. HURTO PERSONAS,ATRACO,TRAMO DE VIA,RURAL,MASCULINO,RUSIA,TURISTA EXTRANJERO,33,1
QUINDÍO,SALENTO,02/23/2020 12:00:00 AM,VDA.COCORA,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PARQUES,RURAL,FEMENINO,ITALIA,TURISTA EXTRANJERO,40,1
HUILA,GARZÓN,03/01/2020 12:00:00 AM,VILLAS DEL CAFE,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,INTERIOR VEHICULO SERVICIO PUBLICO,URBANA,MASCULINO,ESPAÑA,TURISTA EXTRANJERO,39,1
MAGDALENA,SANTA MARTA (CT),01/22/2020 12:00:00 AM,SAN MARTIN,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,38,1
MAGDALENA,SANTA MARTA (CT),01/25/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,RESTAURANTES,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,30,1
MAGDALENA,SANTA MARTA (CT),01/08/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,ROMPIMIENTO DE VIDRIO,VIAS PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,39,1
MAGDALENA,SANTA MARTA (CT),01/07/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,49,1
MAGDALENA,SANTA MARTA (CT),01/31/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,31,1
MAGDALENA,SANTA MARTA (CT),02/04/2020 12:00:00 AM,PESCAITO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,ESTABLECIMIENTO PUBLICO,URBANA,FEMENINO,ARGENTINA,TURISTA EXTRANJERO,63,1
MAGDALENA,SANTA MARTA (CT),02/10/2020 12:00:00 AM,RODADERO SUR,ARTÍCULO 239. HURTO PERSONAS,ATRACO,PLAYA,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,25,1
MAGDALENA,SANTA MARTA (CT),01/04/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 111. LESIONES PERSONALES,RIÑAS,PLAYA,URBANA,MASCULINO,COLOMBIA,TURISTA NACIONAL,39,1
MAGDALENA,SANTA MARTA (CT),01/23/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,PLAYA,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,24,1
MAGDALENA,SANTA MARTA (CT),01/10/2020 12:00:00 AM,RODADERO TRADICIONAL,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,COLOMBIA,TURISTA NACIONAL,45,1
